Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value,Year,Month,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Solar,GWh,4264.75,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Wind,GWh,9645.5,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Bioenergy,GWh,453.01,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Coal,GWh,81583.85,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Gas,GWh,4393.48,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Hydro,GWh,20267.43,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Nuclear,GWh,3881.96,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Other Fossil,GWh,10.4,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Other Renewables,GWh,140.44,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Solar,GWh,4550.71,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2020,Electricity generation,Fuel,Wind,GWh,4852.13,2020,9,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Bioenergy,GWh,558.98,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Coal,GWh,84889.02,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Gas,GWh,4760.75,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Hydro,GWh,14343.77,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Nuclear,GWh,3969.13,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Other Fossil,GWh,5.75,2020,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2020,Electricity generation,Fuel,Other Renewables,GWh,161.37,2020,10,,,,,,,,,
